complaint_id,resident_id,description,location,category,priority,status,timestamp,assigned_staff
CMP0125,RES420,Corridor lights flickering,Block B,Electrical,Low,Assigned,2026-02-15 07:46:00,TECH17
CMP0126,RES955,Issue: Foul smell near dustbin,Block B,Cleanliness,Critical,In Progress,2026-01-02 17:33:00,TECH40
CMP0127,RES292,Door hinge broken,Block C,Carpentry,Critical,Open,2026-02-06 07:12:00,TECH13
CMP0128,RES901,bypass entry detected please fix ASAP,Main Gate,Security,Medium,Closed,2026-01-27 01:27:00,TECH12
CMP0129,RES387,switchboard sparking please fix ASAP,Block C,Electrical,High,Open,2026-01-11 03:40:00,TECH17
CMP0130,RES934,unknown person loitering please fix ASAP,Basement Parking,Security,Low,Closed,2026-02-01 11:03:00,TECH20
CMP0131,RES368,overhead tank overflowing please fix ASAP,Block A,Plumbing,Low,Assigned,2026-01-21 06:45:00,
CMP0132,RES700,Issue: Switchboard sparking,Block A,Electrical,Low,Closed,2026-01-18 12:30:00,TECH19
CMP0133,RES290,Issue: Main gate unattended,Basement Parking,Security,Medium,Open,2026-02-05 16:08:00,TECH17
CMP0134,RES782,Corridor lights flickering,Clubhouse,Electrical,High,Resolved,2026-03-11 10:57:00,TECH26
CMP0135,RES476,Issue: Drainage blocked,Block C,Plumbing,High,Open,2026-01-10 02:10:00,TECH22
CMP0136,RES189,Issue: Corridor lights flickering,Basement Parking,Electrical,Critical,Open,2026-01-17 11:43:00,TECH33
CMP0137,RES994,boom barrier not opening please fix ASAP,Clubhouse,Security,High,In Progress,2026-01-03 20:57:00,TECH35
CMP0138,RES682,unknown person loitering please fix ASAP,Main Gate,Security,Medium,Resolved,2026-01-07 19:19:00,
CMP0139,RES387,Issue: Main door lock stuck,Basement Parking,Carpentry,Low,Assigned,2026-02-24 16:52:00,TECH45
CMP0140,RES932,Dead rat in parking,Main Gate,Cleanliness,Low,In Progress,2026-02-09 08:00:00,TECH11
CMP0141,RES228,Issue: Power cut in apartment,Block A,Electrical,Low,Assigned,2026-01-18 15:10:00,TECH45
CMP0142,RES332,lift fan not working please fix ASAP,Block B,Elevator,Low,In Progress,2026-01-29 20:25:00,TECH35
CMP0143,RES147,Kitchen sink pipe leaking,Basement Parking,Plumbing,Low,Resolved,2026-02-19 02:14:00,TECH33
CMP0144,RES524,water leakage in bathroom please fix ASAP,Clubhouse,Plumbing,Medium,Resolved,2026-01-01 11:59:00,
CMP0145,RES674,Issue: Lift fan not working,Block C,Elevator,High,Open,2026-01-09 10:20:00,TECH41
CMP0146,RES120,Issue: Clubhouse washroom unclean,Block C,Cleanliness,Critical,Open,2025-12-17 05:24:00,TECH33
CMP0147,RES591,Lift buttons not responding,Block C,Elevator,Critical,Resolved,2026-01-01 13:21:00,TECH17
CMP0148,RES164,Staircase is very dirty,Block B,Cleanliness,High,In Progress,2025-12-31 17:13:00,TECH39
CMP0149,RES193,security guard sleeping on duty please fix ASAP,Block B,Security,Medium,In Progress,2026-02-17 11:37:00,
CMP0150,RES216,Foul smell near dustbin,Block A,Cleanliness,Critical,Resolved,2026-01-24 11:11:00,TECH35
CMP0151,RES623,garbage not collected please fix ASAP,Block A,Cleanliness,Medium,Open,2026-03-11 10:27:00,TECH24
CMP0152,RES687,Clubhouse washroom unclean,Clubhouse,Cleanliness,Low,Open,2026-01-18 04:24:00,TECH10
CMP0153,RES302,Power cut in apartment,Basement Parking,Electrical,High,Resolved,2026-02-27 17:28:00,TECH49
CMP0154,RES618,dead rat in parking please fix ASAP,Basement Parking,Cleanliness,Critical,Resolved,2026-01-27 21:53:00,TECH47
CMP0155,RES890,window sliding track jammed please fix ASAP,Main Gate,Carpentry,High,Resolved,2025-12-28 18:35:00,TECH30
CMP0156,RES664,boom barrier not opening please fix ASAP,Main Gate,Security,Critical,Closed,2026-03-08 21:38:00,TECH20
CMP0157,RES167,Issue: Water leakage in bathroom,Block A,Plumbing,Critical,In Progress,2026-03-03 19:19:00,
CMP0158,RES662,Garbage not collected,Clubhouse,Cleanliness,High,Resolved,2026-02-26 20:19:00,TECH23
CMP0159,RES134,garbage not collected please fix ASAP,Basement Parking,Cleanliness,Critical,Open,2026-01-28 18:44:00,
CMP0160,RES875,Garbage not collected,Basement Parking,Cleanliness,Medium,Closed,2026-02-14 04:25:00,TECH32
CMP0161,RES486,Dripping tap in washroom,Clubhouse,Plumbing,High,Closed,2026-02-26 22:55:00,TECH49
CMP0162,RES209,elevator display broken please fix ASAP,Block A,Elevator,Medium,Assigned,2026-03-04 07:16:00,TECH35
CMP0163,RES296,clubhouse washroom unclean please fix ASAP,Main Gate,Cleanliness,High,In Progress,2026-01-05 00:24:00,TECH33
CMP0164,RES171,short circuit in mcb please fix ASAP,Clubhouse,Electrical,Medium,Resolved,2026-03-03 14:23:00,TECH29
CMP0165,RES605,Boom barrier not opening,Clubhouse,Security,Medium,Closed,2025-12-25 23:27:00,TECH44
CMP0166,RES248,Issue: Lift stuck between floors,Block C,Elevator,Low,Assigned,2026-01-03 04:38:00,TECH32
CMP0167,RES440,bypass entry detected please fix ASAP,Main Gate,Security,Critical,In Progress,2026-02-20 17:44:00,TECH44
CMP0168,RES462,Lift fan not working,Block B,Elevator,Low,Closed,2025-12-21 20:40:00,TECH37
CMP0169,RES168,Issue: Main gate unattended,Basement Parking,Security,High,Open,2026-01-11 16:14:00,TECH45
CMP0170,RES121,Corridor sweeping missed,Clubhouse,Cleanliness,Low,Closed,2026-02-27 14:13:00,
CMP0171,RES534,Issue: Bypass entry detected,Block B,Security,Medium,In Progress,2026-01-17 23:31:00,TECH11
CMP0172,RES564,unknown person loitering please fix ASAP,Basement Parking,Security,Medium,Assigned,2025-12-29 03:27:00,TECH18
CMP0173,RES525,Issue: Kitchen sink pipe leaking,Block A,Plumbing,High,Assigned,2026-01-22 03:12:00,
CMP0174,RES219,No power in Block B,Basement Parking,Electrical,Critical,Closed,2026-01-22 13:22:00,TECH20
CMP0175,RES964,Bypass entry detected,Clubhouse,Security,Medium,In Progress,2026-02-12 05:04:00,TECH20
CMP0176,RES136,Cupboard handle loose,Block A,Carpentry,Medium,Resolved,2025-12-14 02:37:00,TECH47
CMP0177,RES102,Issue: Elevator door not closing,Block C,Elevator,Critical,Closed,2026-01-14 18:56:00,TECH16
CMP0178,RES705,Lift making strange noise,Block A,Elevator,Medium,Open,2026-03-08 00:37:00,TECH48
CMP0179,RES131,Issue: Door hinge broken,Basement Parking,Carpentry,Low,Resolved,2026-01-04 19:57:00,
CMP0180,RES679,Issue: Short circuit in MCB,Block A,Electrical,Low,In Progress,2026-03-07 22:53:00,TECH46
CMP0181,RES176,CCTV camera broken,Basement Parking,Security,Medium,Resolved,2026-01-01 11:24:00,TECH32
CMP0182,RES755,Issue: Main gate unattended,Clubhouse,Security,Low,Assigned,2026-01-17 03:08:00,TECH37
CMP0183,RES833,Water leakage in bathroom,Block A,Plumbing,Critical,Resolved,2026-02-14 06:13:00,
CMP0184,RES446,Street light not working,Main Gate,Electrical,Low,Open,2026-03-07 19:31:00,TECH10
CMP0185,RES822,door hinge broken please fix ASAP,Main Gate,Carpentry,High,Open,2025-12-30 02:59:00,TECH46
CMP0186,RES587,Issue: No power in Block B,Clubhouse,Electrical,High,Resolved,2026-02-07 11:28:00,TECH19
CMP0187,RES323,Corridor lights flickering,Main Gate,Electrical,Critical,Open,2025-12-15 00:44:00,TECH44
CMP0188,RES651,Unknown person loitering,Main Gate,Security,High,Resolved,2026-01-13 22:34:00,TECH17
CMP0189,RES996,Corridor lights flickering,Basement Parking,Electrical,High,Open,2025-12-16 11:25:00,TECH37
CMP0190,RES937,No power in Block B,Block B,Electrical,Low,In Progress,2026-01-30 22:29:00,TECH46
CMP0191,RES428,Overhead tank overflowing,Block A,Plumbing,Low,Resolved,2026-03-10 11:08:00,TECH48
CMP0192,RES596,Issue: Power cut in apartment,Basement Parking,Electrical,High,Open,2026-02-25 20:26:00,
CMP0193,RES431,Issue: Security guard sleeping on duty,Block A,Security,Critical,Closed,2026-01-26 03:24:00,
CMP0194,RES885,Main door lock stuck,Basement Parking,Carpentry,Low,Open,2025-12-15 20:51:00,TECH32
CMP0195,RES776,Short circuit in MCB,Basement Parking,Electrical,High,Assigned,2026-02-10 05:52:00,TECH24
CMP0196,RES223,kitchen sink pipe leaking please fix ASAP,Basement Parking,Plumbing,High,Closed,2025-12-30 19:52:00,
CMP0197,RES682,main door lock stuck please fix ASAP,Block A,Carpentry,Low,In Progress,2026-03-06 07:55:00,TECH26
CMP0198,RES325,wooden flooring damage please fix ASAP,Basement Parking,Carpentry,Critical,Closed,2025-12-24 05:48:00,TECH23
CMP0199,RES582,Issue: Corridor lights flickering,Block A,Electrical,Medium,Resolved,2026-02-13 19:38:00,TECH37
CMP0200,RES130,Balcony door not closing,Main Gate,Carpentry,Medium,Open,2026-01-08 03:48:00,TECH31
CMP0201,RES430,balcony door not closing please fix ASAP,Block B,Carpentry,Low,Resolved,2025-12-22 12:55:00,TECH27
CMP0202,RES951,Issue: Overhead tank overflowing,Main Gate,Plumbing,High,Open,2026-02-28 01:22:00,
CMP0203,RES522,Corridor lights flickering,Block B,Electrical,High,Resolved,2026-01-05 05:09:00,TECH45
CMP0204,RES961,Issue: Lift making strange noise,Block B,Elevator,Critical,Open,2026-02-11 05:48:00,TECH46
CMP0205,RES872,foul smell near dustbin please fix ASAP,Block A,Cleanliness,High,Closed,2026-01-26 12:06:00,TECH49
CMP0206,RES889,boom barrier not opening please fix ASAP,Basement Parking,Security,Critical,Closed,2026-01-02 17:43:00,TECH22
CMP0207,RES997,Corridor lights flickering,Block C,Electrical,Medium,In Progress,2026-01-19 02:43:00,TECH21
CMP0208,RES604,Issue: Clubhouse washroom unclean,Block C,Cleanliness,Low,Open,2025-12-18 02:26:00,
CMP0209,RES980,Issue: Corridor sweeping missed,Basement Parking,Cleanliness,Low,Closed,2026-01-25 13:41:00,TECH12
CMP0210,RES944,Issue: Unknown person loitering,Block C,Security,Critical,Resolved,2026-03-01 06:08:00,TECH45
CMP0211,RES339,Issue: Elevator door not closing,Basement Parking,Elevator,High,Resolved,2026-03-08 10:40:00,TECH21
CMP0212,RES385,Issue: Corridor sweeping missed,Basement Parking,Cleanliness,Medium,Assigned,2025-12-17 10:01:00,
CMP0213,RES821,Corridor lights flickering,Clubhouse,Electrical,Critical,In Progress,2025-12-27 00:19:00,TECH45
CMP0214,RES794,kitchen sink pipe leaking please fix ASAP,Block A,Plumbing,Low,Closed,2026-01-08 03:32:00,TECH47
CMP0215,RES400,Issue: Switchboard sparking,Basement Parking,Electrical,Critical,Open,2026-02-25 03:10:00,
CMP0216,RES528,no water supply please fix ASAP,Clubhouse,Plumbing,Low,Assigned,2026-01-17 04:56:00,TECH36
CMP0217,RES737,Issue: Clubhouse washroom unclean,Block A,Cleanliness,Medium,Closed,2026-02-13 06:38:00,TECH42
CMP0218,RES154,Kitchen sink pipe leaking,Basement Parking,Plumbing,Critical,Open,2026-01-07 21:00:00,TECH34
CMP0219,RES933,Issue: Street light not working,Block B,Electrical,High,In Progress,2026-02-24 06:09:00,TECH17
CMP0220,RES129,lift buttons not responding please fix ASAP,Block C,Elevator,Medium,Resolved,2025-12-26 18:45:00,TECH20
CMP0221,RES966,Issue: No power in Block B,Basement Parking,Electrical,Low,Resolved,2026-02-20 15:06:00,TECH30
CMP0222,RES258,Short circuit in MCB,Block C,Electrical,Medium,Open,2026-02-21 07:20:00,TECH39
CMP0223,RES994,Foul smell near dustbin,Block A,Cleanliness,High,Resolved,2026-02-02 01:08:00,
CMP0224,RES173,Issue: Bypass entry detected,Clubhouse,Security,Low,Open,2026-01-26 17:02:00,TECH38
CMP0225,RES337,Issue: Garbage not collected,Main Gate,Cleanliness,Critical,Assigned,2026-01-14 09:34:00,TECH43
CMP0226,RES351,Kitchen sink pipe leaking,Basement Parking,Plumbing,High,Open,2026-03-03 12:34:00,TECH13
CMP0227,RES494,Cupboard handle loose,Block A,Carpentry,High,Open,2026-03-12 04:09:00,TECH19
CMP0228,RES378,Issue: Security guard sleeping on duty,Block B,Security,High,Resolved,2025-12-17 05:49:00,TECH50
CMP0229,RES149,no water supply please fix ASAP,Clubhouse,Plumbing,Medium,Assigned,2026-01-10 13:52:00,TECH41
CMP0230,RES554,Lift buttons not responding,Main Gate,Elevator,Medium,Closed,2026-01-22 05:00:00,TECH14
CMP0231,RES262,door hinge broken please fix ASAP,Basement Parking,Carpentry,Critical,Open,2026-01-25 09:33:00,TECH11
CMP0232,RES700,Issue: Foul smell near dustbin,Main Gate,Cleanliness,High,Resolved,2026-02-19 01:05:00,TECH21
CMP0233,RES621,staircase is very dirty please fix ASAP,Basement Parking,Cleanliness,Low,Closed,2026-02-17 12:03:00,
CMP0234,RES618,Elevator display broken,Main Gate,Elevator,Medium,Closed,2025-12-17 06:24:00,TECH15
CMP0235,RES385,Issue: Garbage not collected,Block B,Cleanliness,Medium,In Progress,2026-01-04 21:39:00,TECH20
CMP0236,RES384,Issue: Window sliding track jammed,Basement Parking,Carpentry,High,Assigned,2026-02-26 18:52:00,TECH14
CMP0237,RES372,Foul smell near dustbin,Block B,Cleanliness,Critical,In Progress,2025-12-18 00:45:00,TECH44
CMP0238,RES524,Issue: Lift making strange noise,Main Gate,Elevator,Medium,Closed,2026-01-30 06:48:00,TECH34
CMP0239,RES546,Issue: Kitchen sink pipe leaking,Main Gate,Plumbing,Low,Assigned,2026-01-25 00:30:00,TECH27
CMP0240,RES937,Issue: Dead rat in parking,Block A,Cleanliness,Medium,Closed,2025-12-24 19:19:00,
CMP0241,RES990,cupboard handle loose please fix ASAP,Clubhouse,Carpentry,High,Closed,2026-01-07 20:02:00,TECH37
CMP0242,RES229,lift making strange noise please fix ASAP,Block C,Elevator,Medium,Assigned,2026-02-13 23:11:00,
CMP0243,RES522,Corridor sweeping missed,Clubhouse,Cleanliness,Medium,Assigned,2026-01-09 16:37:00,TECH17
CMP0244,RES445,Overhead tank overflowing,Clubhouse,Plumbing,Medium,In Progress,2026-02-26 20:52:00,
CMP0245,RES106,Issue: Lift fan not working,Main Gate,Elevator,Medium,In Progress,2026-03-03 11:11:00,TECH27
CMP0246,RES668,no water supply please fix ASAP,Block B,Plumbing,Low,Resolved,2026-01-09 11:37:00,TECH44
CMP0247,RES864,switchboard sparking please fix ASAP,Block B,Electrical,Critical,Assigned,2026-01-10 04:00:00,TECH21
CMP0248,RES329,Issue: Main gate unattended,Clubhouse,Security,Critical,Open,2026-02-20 02:44:00,
CMP0249,RES628,Garbage not collected,Block B,Cleanliness,High,Closed,2026-02-17 10:28:00,TECH12
CMP0250,RES841,dead rat in parking please fix ASAP,Block B,Cleanliness,Critical,Open,2026-01-23 08:21:00,TECH29
